year,month,dayofweek,day,freight_value,competition_price,stock,black_friday,carnival,christmas,friday,mothers_day,new_year,others,valentines,base_cost
2019,3,2,20,31.343865155926768,1037.8488707579438,1594.0,0,0,0,0,0,0,0,0,779.4758592540602
2019,3,3,21,31.29914344903595,1037.1550311272067,1595.0,0,0,0,0,0,0,0,0,778.6784377713145
2019,3,4,22,31.05502067564668,1034.7565224276202,1555.0,0,0,0,0,0,0,0,0,777.1034199694308
2019,3,5,23,31.180204819608363,1034.7565224276202,1556.0,0,0,0,0,0,0,0,0,777.1137608785216
2019,3,6,24,31.286188602724987,1034.7565224276202,561.0,0,0,0,0,0,0,0,0,777.4149294391277
2019,3,0,25,31.048083689821702,1032.1064491419163,577.0,0,0,0,0,0,0,0,0,778.0508429796859
2019,3,1,26,31.22597511103364,1032.5525909530418,579.0,0,0,0,0,0,0,0,0,775.9784132923926
2019,3,2,27,31.1560550592595,1031.5649844966597,545.0,0,0,0,0,0,0,0,0,776.0733718291632
2019,3,3,28,30.970224902601046,1030.390729336636,592.0,0,0,0,0,0,0,0,0,774.8908268576448
2019,3,4,29,30.85886885857689,1032.6625769865614,570.0,0,0,0,0,0,0,0,0,775.6224311978407
2019,3,5,30,31.11951272251023,1032.6625769865614,583.0,0,0,0,0,0,0,0,0,775.8928870371594
2019,3,6,31,31.22251353864291,1032.6625769865614,592.0,0,0,0,0,0,0,0,0,775.0965850419481
2019,4,0,1,30.73898870636005,1032.5548957136184,591.0,0,0,0,0,0,0,0,0,775.7982658847143
2019,4,1,2,30.976531941351066,1030.6349041980964,1129.0,0,0,0,0,0,0,0,0,774.9030636662419
2019,4,2,3,31.35342290580205,1031.5005192584424,1141.0,0,0,0,0,0,0,0,0,775.9273206950994
2019,4,3,4,31.38861686802327,1034.6782988767934,1181.0,0,0,0,0,0,0,0,0,776.2286316325316
2019,4,4,5,30.95225524581513,1040.7833779806672,1146.0,0,0,0,0,0,0,0,0,774.7180860739471
2019,4,5,6,31.19575377765245,1043.8622510437103,1202.0,0,0,0,0,0,0,0,0,774.163252856657
2019,4,6,7,31.12767271294008,1045.7010462136557,1051.0,0,0,0,0,0,0,0,0,772.8652392451306
2019,4,0,8,31.302416574326443,1046.6470570401827,1078.0,0,0,0,0,0,0,0,0,771.410079220208
2019,4,1,9,31.131742951168103,1044.6341943238308,1051.0,0,0,0,0,0,0,0,0,770.9626242919609
2019,4,2,10,31.17826411696927,1045.5798379656546,1085.0,0,0,0,0,0,0,0,0,771.127246197787
2019,4,3,11,31.110689945230718,1043.9550794655622,1076.0,0,0,0,0,0,0,0,0,769.3469522770134
2019,4,4,12,30.903401089852252,1043.305501185366,1089.0,0,0,0,0,0,0,0,0,769.0455593337041
2019,4,5,13,31.033990560963627,1043.7439785123777,1207.0,0,0,0,0,0,0,0,0,768.7468120087108
